snake_sub_family,higher_snake_family,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
Ophiophagus hannah,Ophiophagus,"421 mg ( dry weight  of milked venom ), Broad et al (1979). ( Ref : R000006 ).",Probably not present,Primary cardiotoxin,Probably not present,Probably not present,Possibly present,Probably not present,Postsynaptic neurotoxins,,Probably not present,"1.80 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",1
Azemiops feae,Azemiops,"Up to 1.75 mg / snake ( wet weight ), Vest (1986) ( Ref : R000517 ).",,,,,,,Possibly present,,,,1
Daboia russelii,Daboia,"130 to 250 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Possibly present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present (Sri Lanka),Possibly present,Possibly present,Presynaptic neurotoxins,,Mixture of procoagulants,,1
Daboia siamensis,Daboia,"Adults : 127 \xc2\xb1 13 mg ( n= 25, average length 1.11 metres, milked dry weight ). Pe and Cho (1986) ( Ref : R000556 ).",Possibly present,Probably not present,Zinc metalloproteinase,Probably not present,Possibly present,Possibly present,Probably not present,,Mixture of procoagulants,,1
Echis carinatus,Echis,"20 to 35 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,1
Pseudocerastes persicus,Pseudocerastes,"Iran : 44 \xc2\xb1 4 mg ( n=5932 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Presynaptic neurotoxins,,Probably not present,,1
Montivipera latifii,Montivipera,"Iran : 6 \xc2\xb1 2 mg ( n=8741 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
Montivipera xanthina,Montivipera,"Iran : 10 \xc2\xb1 2 mg ( n=4446 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
Calloselasma rhodostoma,Calloselasma,"40 to 60 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Present but not defined,Not present,Secondary necrotoxic activity only,Not present,Not present,Not present or not significant,Fibrinogenases,,1
Deinagkistrodon acutus,Deinagkistrodon,"214 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Possibly present,Probably not present,Probably present,Not present,Present but not defined,Probably not present,Not present,,Mixture of procoagulants,,1
Ovophis okinavensis,Ovophis,"22.2 mg ( dry weight ), Sawai (1975) ( Ref : R000768 ).",Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,1
Trimeresurus albolabris,Trimeresurus,"8 to 15 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,,1
Protobothrops elegans,Protobothrops,"124 mg ( dry weight ), Sawai (1975) ( Ref : R000768 ).",Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,1
Protobothrops flavoviridis,Protobothrops,"100 to 300 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Not present,Present but possibly not clinically significant,Not present,Not present,Probably not present,,Not present,,1
Protobothrops mucrosquamatus,Protobothrops,"140 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Possibly present,Probably not present,Zinc metalloproteinase,Probably not present,Possibly present,,Probably not present,Oedema inducing toxins,Fibrinogenases,,1
Trimeresurus stejnegeri,Trimeresurus,"7.8 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Possibly present,Probably not present,Possibly present,Probably not present,,,Probably not present,,Fibrinogenases,,1
Protobothrops tokarensis,Protobothrops,"32.9 mg  ( dry weight ), Sawai (1975) ( Ref : R000768 ).",,Probably not present,,,,,Probably not present,,,,1
Tropidolaemus wagleri,Tropidolaemus,"65 to 90 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,1
Dispholidus typus,Dispholidus,"15.2 mg ( dry weight ), Grasset and Schaafsma (1940) ( Ref : R000611 ).",Possibly present,Not present,Probably present,Not present,Not present,Not present,Not present,Not present or not significant,Mixture of procoagulants,,1
Thelotornis capensis,Thelotornis,"2.25 mg ( dry weight ), Weinstein and Smith (1993) ( Ref : R000609 ).",Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Present but not defined,,1
Toxicodryas blandingii,Toxicodryas,"1.6 mg ( dry weight ), Weinstein and Smith (1993) ( Ref : R000609 ).",Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,1
Atractaspis bibronii,Atractaspis,"0.5 mg, Kochva et al (1982) ( Ref : R000657 ).",Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,1
Atractaspis dahomeyensis,Atractaspis,"1.3 to 7.6 ( wet venom, 23 to 26 % solid ), Spawls and Branch (1995) ( Ref : R000704 ).",Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,1
Atractaspis microlepidota,Atractaspis,"5 to 10 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,,1
Dendroaspis angusticeps,Dendroaspis,"60 to 95 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,1
Hemachatus haemachatus,Hemachatus,"80 to 120 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Present but not defined,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,1
Naja haje,Naja,"175 to 300 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Possibly present,Probably not present,Possibly present but not clinically significant,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja nigricollis,Naja,"200 to 350 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja nivea,Naja,"100 to 150 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja pallida,Naja,"170 to 260 mg ( dry weight, no external pressure on venom gland ), Cascardi et al (1999) ( Ref : R000883 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Bitis arietans,Bitis,"130 to 200 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Possibly present,Not present,Present but not defined,Not present,Present but not defined,Possibly present,Not present,,Possibly present,,1
Bitis gabonica,Bitis,"350 - 600 mg ( dried venom ), Phelps (1981) ( Ref : R000491 ).",Possibly present,Present but not defined,Zinc metalloproteinase,Not present,Possibly present,Not present,Not present,,Fibrinogenases,,1
Cerastes cerastes,Cerastes,"40 to 70 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,1
Daboia palaestinae,Daboia,"90 to 140 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Present,Present,Probably not present,Probably not present,Possibly present but not commonly clinically significant,,Present,,1
Causus rhombeatus,Causus,"20 to 30 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",,,,,,,,,Antithrombin III inactivating toxin,,1
Micrurus alleni,Micrurus,"3 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus corallinus,Micrurus,"10 to 12 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus dumerilii,Micrurus,"M. d. dumerili :  5 to 7 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus frontalis,Micrurus,"20 to 30 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus fulvius,Micrurus,"2 mg ( dry weight ), Russell (1964) ( Ref : R000685 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus isozonus,Micrurus,"9 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus lemniscatus,Micrurus,"8 to 10 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus mertensi,Micrurus,"2 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus mipartitus,Micrurus,"M. m. decussatus : 7 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus multifasciatus,Micrurus,"M. m. hertwigi : 12 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus nigrocinctus,Micrurus,"M. n. nigrocinctus : 7 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus spixii,Micrurus,"M. s. spixii : 41 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus surinamensis,Micrurus,"M. s. surinamensis: 56 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Crotalus ravus,Crotalus,"43.5 mg ( n=2 ), Minton and Weinstein (1984) ( Ref : R000494 ).",,Not likely to be present,Present but not defined,,,Not likely to be present,Not likely to be present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,,,1
Micrurus pyrrhocryptus,Micrurus,"8 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Lachesis muta,Lachesis,"280 to 450 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Possibly present,Probably not present,Zinc metalloproteinase,Possibly present,Probably not present,Probably not present,Probably not present,Not present or not significant,Mixture of procoagulants,,1
Bothriechis schlegelii,Bothriechis,"10 to 20 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Possibly present but not clinically significant,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,1
Bothrops alternatus,Bothrops,"60 to 100 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Possibly present but not clinically significant,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Mixture of procoagulants,,1
Bothrops ammodytoides,Bothrops,"Argentina : 20.4 \xc2\xb1 8 mg ( dry weight ) = 11.7 \xc2\xb1 4.47 mg venom / 100 g body weight, De Roodt et al (1988) ( Ref : R000870 ).",Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops atrox,Bothrops,"70 to 160 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Possibly present,Probably not present,,Prothrombin convertors,,1
Bothrops cotiara,Bothrops,"Female ( n=11 ) = 144 mg, Newborn = 17 mg. Furtado et al (1991) ( Ref : R000651 ).",Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops erythromelas,Bothrops,"Female ( n=14 ) = 40 mg, Newborn = 18 mg. Furtado et al (1991) ( Ref : R000651 ).",Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Probably not present,,Fibrinogenases,,1
Bothrops jararaca,Bothrops,"40 to 70 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Zinc metalloproteinase,Possibly present,Present but not defined,Possibly present,Probably not present,,Fibrinogenases,,1
Bothrops jararacussu,Bothrops,"100 to 200 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Probably present,"Systemic myotoxins present, but principally cause local myonecrosis",Present but not defined,Possibly present,Probably not present,,Fibrinogen clotting toxins,,1
Bothrops leucurus,Bothrops,"Bahia, Brazil : 182 mg ( dry weight ), Sanchez et al (1992) ( Ref : R000690 ).",Probably not present,Probably not present,Probably present,Possibly present,Possibly present,Probably not present,Probably not present,,Probably present,,1
Bothrops moojeni,Bothrops,"Female ( n=15 ) = 335 mg, Newborn = 63 mg. Furtado et al (1991) ( Ref : R000651 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Possibly present,Probably not present,,Mixture of procoagulants,,1
Bothrops neuwiedi,Bothrops,"25 to 40 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Possibly present,Not present,Zinc metalloproteinase,Probably not present,Secondary necrotoxic activity only,Not present,Not present,Other,Prothrombin convertors,,1
Crotalus adamanteus,Crotalus,"370 to 720 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Platelet aggregation inhibitor,Not present,Zinc metalloproteinase,Systemic myotoxins present,Secondary necrotoxic activity only,Secondary nephrotoxicity only,Not present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Mixture of procoagulants,"11.4 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",1
Crotalus atrox,Crotalus,"63 mg ( dry weight ) ( n=3, range 20 to 103 mg ), Glenn and Straight (1985) ( Ref : R000503 ).",,,,,,,,,,,1
Crotalus basiliscus,Crotalus,"250 to 350 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",,Not present,Present but not defined,Possibly present,Secondary necrotoxic activity only,Secondary nephrotoxicity only,Possibly present,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Mixture of procoagulants,,1
Crotalus catalinensis,Crotalus,"21 mg ( dry weight ) ( n=5, range 11 to 33 mg ), Glenn and Straight (1985) ( Ref : R000503 ).",,,,,,,,,,,1
Crotalus durissus,Crotalus,"25 to 40 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Not present,Secondary myotoxicity present,Not present,Secondary nephrotoxicity only,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Fibrinogenases,,1
Crotalus enyo,Crotalus,"31 mg ( dry weight ) ( n=11, range 23 to 49 mg ), Glenn and Straight (1985) ( Ref : R000503 ).",,,,,,,,,,,1
Crotalus pusillus,Crotalus,"49 mg ( n=2 ), Minton and Weinstein (1984) ( Ref : R000494 ).",,,,,,,,,,,1
Crotalus scutulatus,Crotalus,"50 to 90 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Present but not defined,Secondary myotoxic activity may be present,Not present,Not present,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Possibly present,,1
Crotalus tigris,Crotalus,"6.4 mg ( n=2 ), Minton and Weinstein (1984) ( Ref : R000494 ).",,,Not present,Systemic myotoxins present,Not present,,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Possibly present,,1
Crotalus oreganus,Crotalus,"19 mg ( dry weight ) ( n=1 ), Glenn and Straight (1985) ( Ref : R000503 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides Other,Mixture of procoagulants,,1
Crotalus viridis,Crotalus,"50 to 100 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides Other,Mixture of procoagulants,,1
Acanthophis antarcticus,Acanthophis,"80 mg ( dry weight ), Garnet (1970), ( Ref : R000688 ).",Present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,"0.400 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
Acanthophis praelongus,Acanthophis,"49.5 mg ( dry weight  of milked venom ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Austrelaps superbus,Austrelaps,"25 mg ( dry weight ), Garnet (1970), ( Ref : R000688 ).",Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,"0.560 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
Hoplocephalus bitorquatus,Hoplocephalus,"1.66 mg ( dry weight  of milked venom ), single milking record, in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Prothrombin convertors,,1
Hoplocephalus bungaroides,Hoplocephalus,"12.0 mg ( dry weight of milked venom ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Prothrombin convertors,,1
Hoplocephalus stephensii,Hoplocephalus,"4.0 mg ( dry weight  of milked venom ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Possibly present but not clinically significant,Possibly present,Not present,Possibly present but not clinically significant,Not present or not significant,Prothrombin convertors,"1.36 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 )",1
Notechis scutatus,Notechis,"35 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.194 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 ).",1
Oxyuranus microlepidotus,Oxyuranus,"44 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Not present,Not present,Possibly present,Systemic myotoxins present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.025 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
Pseudechis australis,Pseudechis,"180 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Direct coagulation inhibitor,Not present,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Possibly present but not clinically significant,Not present or not significant,Not present,"2.38 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
Pseudechis colletti,Pseudechis,"48 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Direct coagulation inhibitor,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Possibly present but not clinically significant,Not present or not significant,Not present,"2.38 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
Pseudechis guttatus,Pseudechis,"32 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Possibly present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Not present,"2.13 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
Pseudechis porphyriacus,Pseudechis,"30 mg ( dry weight ), Freeman and Kellaway (1934) ( Ref : R000686 ).",Possibly present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Possibly present,"2.52 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 ).",1
Pseudechis papuanus,Pseudechis,,Possibly present,Not present,Possibly present but not clinically significant,,Not present,Not present,Present but not defined,Not present or not significant,Present but not defined,"1.09 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
Pseudonaja guttata,Pseudonaja,"0.5 mg ( dry weight  of milked venom ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,,1
Pseudonaja inframacula,Pseudonaja,"3.0 mg ( dry weight  of milked venom ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Not present,,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"Eyre Peninsula, SA : 0.25 mg / kg  sc ( mice,  ), Masci et al (1998) ( Ref : R000989 ).",1
Pseudonaja nuchalis,Pseudonaja,"18 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.473 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
Pseudonaja textilis,Pseudonaja,"2 to 6 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 ).",Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"0.053 mg / kg  sc ( mice ), Meier and White (1995) ( Ref : R000001 )",1
Cryptophis nigrescens,Cryptophis,"8.0 mg ( dry weight  of milked venom ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,1
Tropidechis carinatus,Tropidechis,"6 mg ( dry weight  of milked venom ), Meier and White (1995) ( Ref : R000001 )",Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,"1.36 mg / kg  sc ( mice ), Meier and White  (1995) ( Ref : R000001 )",1
