week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt
17,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87,0,THA,https://flixpatrol.com/title/the-king-eternal-monarch,ASI,2020,4
37,Movie,Robin Hood,USA,Adventure,2018-09-01,False,53,15,FIN,https://flixpatrol.com/title/robin-hood-2018,EUR,2018,9
37,TV Show,Young Wallander,Sweden,Crime,2020-09-03,True,69,0,FIN,https://flixpatrol.com/title/young-wallander,EUR,2020,9
36,Movie,Joker,USA,Superhero,2019-10-02,False,89,68,FIN,https://flixpatrol.com/title/joker-2019,EUR,2019,10
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83,87,FIN,https://flixpatrol.com/title/lucifer,EUR,2016,1
35,Movie,Project Power,USA,Action,2020-08-14,True,61,63,FIN,https://flixpatrol.com/title/project-power,EUR,2020,8
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83,87,FIN,https://flixpatrol.com/title/lucifer,EUR,2016,1
34,Movie,Project Power,USA,Action,2020-08-14,True,61,63,FIN,https://flixpatrol.com/title/project-power,EUR,2020,8
34,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84,0,FIN,https://flixpatrol.com/title/modern-family,EUR,2009,9
33,Movie,Work It,USA,Comedy,2020-08-07,True,61,0,FIN,https://flixpatrol.com/title/work-it-2020,EUR,2020,8
33,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84,0,FIN,https://flixpatrol.com/title/modern-family,EUR,2009,9
32,Movie,Malibu Rescue: The Next Wave,USA,Comedy,2020-08-04,True,59,0,FIN,https://flixpatrol.com/title/malibu-rescue-the-next-wave,EUR,2020,8
32,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84,0,FIN,https://flixpatrol.com/title/modern-family,EUR,2009,9
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62,28,FIN,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7
31,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84,0,FIN,https://flixpatrol.com/title/modern-family,EUR,2009,9
30,Movie,Venom,USA,Superhero,2018-10-03,False,71,29,FIN,https://flixpatrol.com/title/venom-2018,EUR,2018,10
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51,69,FIN,https://flixpatrol.com/title/cursed-2020,EUR,2020,7
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82,80,FIN,https://flixpatrol.com/title/the-old-guard,EUR,2020,7
29,TV Show,Snowpiercer,USA,Science Fiction,2020-05-17,True,61,62,FIN,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5
28,Movie,It: Chapter 2,USA,Horror,2019-09-05,False,70,63,FIN,https://flixpatrol.com/title/it-chapter-2,EUR,2019,9
28,TV Show,Unsolved Mysteries,USA,Documentary,2020-07-01,True,80,74,FIN,https://flixpatrol.com/title/unsolved-mysteries-2020,EUR,2020,7
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,FIN,https://flixpatrol.com/title/365-days,EUR,2020,6
27,TV Show,Unsolved Mysteries,USA,Documentary,2020-07-01,True,80,74,FIN,https://flixpatrol.com/title/unsolved-mysteries-2020,EUR,2020,7
26,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,FIN,https://flixpatrol.com/title/365-days,EUR,2020,6
26,TV Show,Snowpiercer,USA,Science Fiction,2020-05-17,True,61,62,FIN,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,FIN,https://flixpatrol.com/title/365-days,EUR,2020,6
25,TV Show,Alexa & Katie,USA,Comedy,2018-03-23,True,75,88,FIN,https://flixpatrol.com/title/alexa-katie,EUR,2018,3
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,FIN,https://flixpatrol.com/title/365-days,EUR,2020,6
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84,39,FIN,https://flixpatrol.com/title/13-reasons-why,EUR,2017,3
23,Movie,Johnny English Strikes Again,United Kingdom,Comedy,2018-09-13,False,66,34,FIN,https://flixpatrol.com/title/johnny-english-3,EUR,2018,9
23,TV Show,Space Force,USA,Comedy,2020-05-29,True,70,41,FIN,https://flixpatrol.com/title/space-force,EUR,2020,5
22,Movie,Johnny English Strikes Again,United Kingdom,Comedy,2018-09-13,False,66,34,FIN,https://flixpatrol.com/title/johnny-english-3,EUR,2018,9
22,TV Show,Snowpiercer,USA,Science Fiction,2020-05-17,True,61,62,FIN,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5
21,Movie,Bumblebee,USA,Science Fiction,2018-12-15,False,73,93,FIN,https://flixpatrol.com/title/bumblebee,EUR,2018,12
21,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94,97,FIN,https://flixpatrol.com/title/the-last-dance,EUR,2020,4
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56,25,FIN,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5
20,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94,97,FIN,https://flixpatrol.com/title/the-last-dance,EUR,2020,4
19,Movie,Dangerous Lies,USA,Thriller,2020-04-30,True,57,41,FIN,https://flixpatrol.com/title/dangerous-lies,EUR,2020,4
19,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94,97,FIN,https://flixpatrol.com/title/the-last-dance,EUR,2020,4
18,Movie,Extraction,USA,Action,2020-04-24,True,70,68,FIN,https://flixpatrol.com/title/extraction-2020,EUR,2020,4
18,TV Show,Never Have I Ever,USA,Comedy,2020-04-27,True,78,98,FIN,https://flixpatrol.com/title/never-have-i-ever,EUR,2020,4
17,Movie,Despicable Me 2,USA,Animated,2013-06-25,False,74,73,FIN,https://flixpatrol.com/title/despicable-me-2,EUR,2013,6
17,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42,37,FIN,https://flixpatrol.com/title/too-hot-to-handle,EUR,2020,4
