,From Date,To Date,SO2
18933,2020-08-01 01:15:00,2020-08-01 01:30:00,31.34
19029,2020-09-01 01:15:00,2020-09-01 01:30:00,None
19125,2020-10-01 01:15:00,2020-10-01 01:30:00,28.22
19221,2020-11-01 01:15:00,2020-11-01 01:30:00,32.7
19317,2020-12-01 01:15:00,2020-12-01 01:30:00,40.32
19413,2020-01-13 01:15:00,2020-01-13 01:30:00,37.47
19509,2020-01-14 01:15:00,2020-01-14 01:30:00,None
19605,2020-01-15 01:15:00,2020-01-15 01:30:00,16.56
19701,2020-01-16 01:15:00,2020-01-16 01:30:00,13.83
19797,2020-01-17 01:15:00,2020-01-17 01:30:00,11.5
19893,2020-01-18 01:15:00,2020-01-18 01:30:00,49.1
19989,2020-01-19 01:15:00,2020-01-19 01:30:00,90.1
20085,2020-01-20 01:15:00,2020-01-20 01:30:00,8.88
20181,2020-01-21 01:15:00,2020-01-21 01:30:00,123.27
20277,2020-01-22 01:15:00,2020-01-22 01:30:00,None
20373,2020-01-23 01:15:00,2020-01-23 01:30:00,None
20469,2020-01-24 01:15:00,2020-01-24 01:30:00,None
20565,2020-01-25 01:15:00,2020-01-25 01:30:00,None
20661,2020-01-26 01:15:00,2020-01-26 01:30:00,None
20757,2020-01-27 01:15:00,2020-01-27 01:30:00,None
20853,2020-01-28 01:15:00,2020-01-28 01:30:00,None
20949,2020-01-29 01:15:00,2020-01-29 01:30:00,None
21045,2020-01-30 01:15:00,2020-01-30 01:30:00,151.78
21141,2020-01-31 01:15:00,2020-01-31 01:30:00,None
21237,2020-01-02 01:15:00,2020-01-02 01:30:00,None
21333,2020-02-02 01:15:00,2020-02-02 01:30:00,22.3
21429,2020-03-02 01:15:00,2020-03-02 01:30:00,21.82
21525,2020-04-02 01:15:00,2020-04-02 01:30:00,84.63
21621,2020-05-02 01:15:00,2020-05-02 01:30:00,140.56
21717,2020-06-02 01:15:00,2020-06-02 01:30:00,38.65
21813,2020-07-02 01:15:00,2020-07-02 01:30:00,16.53
21909,2020-08-02 01:15:00,2020-08-02 01:30:00,47.55
22005,2020-09-02 01:15:00,2020-09-02 01:30:00,30.65
22101,2020-10-02 01:15:00,2020-10-02 01:30:00,29
22197,2020-11-02 01:15:00,2020-11-02 01:30:00,48.99
22293,2020-12-02 01:15:00,2020-12-02 01:30:00,85.12
22389,2020-02-13 01:15:00,2020-02-13 01:30:00,61.26
22485,2020-02-14 01:15:00,2020-02-14 01:30:00,61.02
22581,2020-02-15 01:15:00,2020-02-15 01:30:00,32.28
22677,2020-02-16 01:15:00,2020-02-16 01:30:00,75.33
22773,2020-02-17 01:15:00,2020-02-17 01:30:00,33.3
22869,2020-02-18 01:15:00,2020-02-18 01:30:00,96.18
22965,2020-02-19 01:15:00,2020-02-19 01:30:00,68.91
23061,2020-02-20 01:15:00,2020-02-20 01:30:00,None
23157,2020-02-21 01:15:00,2020-02-21 01:30:00,None
23253,2020-02-22 01:15:00,2020-02-22 01:30:00,85.49
23349,2020-02-23 01:15:00,2020-02-23 01:30:00,42.1
23445,2020-02-24 01:15:00,2020-02-24 01:30:00,None
23541,2020-02-25 01:15:00,2020-02-25 01:30:00,98.12
23637,2020-02-26 01:15:00,2020-02-26 01:30:00,None
23733,2020-02-27 01:15:00,2020-02-27 01:30:00,None
23829,2020-02-28 01:15:00,2020-02-28 01:30:00,24.76
23925,2020-02-29 01:15:00,2020-02-29 01:30:00,117.9
24021,2020-01-03 01:15:00,2020-01-03 01:30:00,193.78
24117,2020-02-03 01:15:00,2020-02-03 01:30:00,70.4
24213,2020-03-03 01:15:00,2020-03-03 01:30:00,None
24309,2020-04-03 01:15:00,2020-04-03 01:30:00,199.59
24405,2020-05-03 01:15:00,2020-05-03 01:30:00,None
24501,2020-06-03 01:15:00,2020-06-03 01:30:00,None
24597,2020-07-03 01:15:00,2020-07-03 01:30:00,None
24693,2020-08-03 01:15:00,2020-08-03 01:30:00,None
24789,2020-09-03 01:15:00,2020-09-03 01:30:00,71.84
24885,2020-10-03 01:15:00,2020-10-03 01:30:00,57.54
24981,2020-11-03 01:15:00,2020-11-03 01:30:00,4.17
25077,2020-12-03 01:15:00,2020-12-03 01:30:00,36.68
25173,2020-03-13 01:15:00,2020-03-13 01:30:00,57.56
25269,2020-03-14 01:15:00,2020-03-14 01:30:00,167.26
25365,2020-03-15 01:15:00,2020-03-15 01:30:00,56.2
25461,2020-03-16 01:15:00,2020-03-16 01:30:00,32.17
25557,2020-03-17 01:15:00,2020-03-17 01:30:00,57.25
25653,2020-03-18 01:15:00,2020-03-18 01:30:00,84.84
25749,2020-03-19 01:15:00,2020-03-19 01:30:00,None
25845,2020-03-20 01:15:00,2020-03-20 01:30:00,None
25941,2020-03-21 01:15:00,2020-03-21 01:30:00,None
26037,2020-03-22 01:15:00,2020-03-22 01:30:00,132.02
26133,2020-03-23 01:15:00,2020-03-23 01:30:00,51.67
26229,2020-03-24 01:15:00,2020-03-24 01:30:00,72.86
26325,2020-03-25 01:15:00,2020-03-25 01:30:00,39.72
26421,2020-03-26 01:15:00,2020-03-26 01:30:00,38.91
26517,2020-03-27 01:15:00,2020-03-27 01:30:00,16.93
26613,2020-03-28 01:15:00,2020-03-28 01:30:00,14.65
26709,2020-03-29 01:15:00,2020-03-29 01:30:00,20.65
26805,2020-03-30 01:15:00,2020-03-30 01:30:00,4.95
26901,2020-03-31 01:15:00,2020-03-31 01:30:00,105.61
26997,2020-01-04 01:15:00,2020-01-04 01:30:00,27.56
27093,2020-02-04 01:15:00,2020-02-04 01:30:00,None
27189,2020-03-04 01:15:00,2020-03-04 01:30:00,50.07
27285,2020-04-04 01:15:00,2020-04-04 01:30:00,70.84
27381,2020-05-04 01:15:00,2020-05-04 01:30:00,56.12
27477,2020-06-04 01:15:00,2020-06-04 01:30:00,None
27573,2020-07-04 01:15:00,2020-07-04 01:30:00,98.91
27669,2020-08-04 01:15:00,2020-08-04 01:30:00,35.84
27765,2020-09-04 01:15:00,2020-09-04 01:30:00,None
27861,2020-10-04 01:15:00,2020-10-04 01:30:00,68.22
27957,2020-11-04 01:15:00,2020-11-04 01:30:00,43.33
28053,2020-12-04 01:15:00,2020-12-04 01:30:00,14.49
28149,2020-04-13 01:15:00,2020-04-13 01:30:00,37.96
28245,2020-04-14 01:15:00,2020-04-14 01:30:00,32.23
28341,2020-04-15 01:15:00,2020-04-15 01:30:00,None
28437,2020-04-16 01:15:00,2020-04-16 01:30:00,None
28533,2020-04-17 01:15:00,2020-04-17 01:30:00,23.19
28629,2020-04-18 01:15:00,2020-04-18 01:30:00,37.91
28725,2020-04-19 01:15:00,2020-04-19 01:30:00,84.86
28821,2020-04-20 01:15:00,2020-04-20 01:30:00,31.52
28917,2020-04-21 01:15:00,2020-04-21 01:30:00,None
29013,2020-04-22 01:15:00,2020-04-22 01:30:00,64.79
29109,2020-04-23 01:15:00,2020-04-23 01:30:00,28.69
29205,2020-04-24 01:15:00,2020-04-24 01:30:00,None
29301,2020-04-25 01:15:00,2020-04-25 01:30:00,17.63
29397,2020-04-26 01:15:00,2020-04-26 01:30:00,2.78
29493,2020-04-27 01:15:00,2020-04-27 01:30:00,19.23
29589,2020-04-28 01:15:00,2020-04-28 01:30:00,15.04
29685,2020-04-29 01:15:00,2020-04-29 01:30:00,2.38
29781,2020-04-30 01:15:00,2020-04-30 01:30:00,None
29877,2020-01-05 01:15:00,2020-01-05 01:30:00,97.52
29973,2020-02-05 01:15:00,2020-02-05 01:30:00,1.1
30069,2020-03-05 01:15:00,2020-03-05 01:30:00,None
30165,2020-04-05 01:15:00,2020-04-05 01:30:00,41.45
30261,2020-05-05 01:15:00,2020-05-05 01:30:00,None
30357,2020-06-05 01:15:00,2020-06-05 01:30:00,None
30453,2020-07-05 01:15:00,2020-07-05 01:30:00,None
30549,2020-08-05 01:15:00,2020-08-05 01:30:00,None
30645,2020-09-05 01:15:00,2020-09-05 01:30:00,None
30741,2020-10-05 01:15:00,2020-10-05 01:30:00,None
30837,2020-11-05 01:15:00,2020-11-05 01:30:00,None
30933,2020-12-05 01:15:00,2020-12-05 01:30:00,None
31029,2020-05-13 01:15:00,2020-05-13 01:30:00,None
31125,2020-05-14 01:15:00,2020-05-14 01:30:00,None
31221,2020-05-15 01:15:00,2020-05-15 01:30:00,None
31317,2020-05-16 01:15:00,2020-05-16 01:30:00,None
31413,2020-05-17 01:15:00,2020-05-17 01:30:00,None
31509,2020-05-18 01:15:00,2020-05-18 01:30:00,None
31605,2020-05-19 01:15:00,2020-05-19 01:30:00,None
31701,2020-05-20 01:15:00,2020-05-20 01:30:00,None
31797,2020-05-21 01:15:00,2020-05-21 01:30:00,None
31893,2020-05-22 01:15:00,2020-05-22 01:30:00,None
31989,2020-05-23 01:15:00,2020-05-23 01:30:00,None
32085,2020-05-24 01:15:00,2020-05-24 01:30:00,None
32181,2020-05-25 01:15:00,2020-05-25 01:30:00,None
32277,2020-05-26 01:15:00,2020-05-26 01:30:00,None
32373,2020-05-27 01:15:00,2020-05-27 01:30:00,None
32469,2020-05-28 01:15:00,2020-05-28 01:30:00,None
32565,2020-05-29 01:15:00,2020-05-29 01:30:00,None
32661,2020-05-30 01:15:00,2020-05-30 01:30:00,None
32757,2020-05-31 01:15:00,2020-05-31 01:30:00,None
32853,2020-01-06 01:15:00,2020-01-06 01:30:00,None
32949,2020-02-06 01:15:00,2020-02-06 01:30:00,None
33045,2020-03-06 01:15:00,2020-03-06 01:30:00,10.98
33141,2020-04-06 01:15:00,2020-04-06 01:30:00,4.38
33237,2020-05-06 01:15:00,2020-05-06 01:30:00,4.38
33333,2020-06-06 01:15:00,2020-06-06 01:30:00,17.74
33429,2020-07-06 01:15:00,2020-07-06 01:30:00,41.11
33525,2020-08-06 01:15:00,2020-08-06 01:30:00,4.38
33621,2020-09-06 01:15:00,2020-09-06 01:30:00,4.38
33717,2020-10-06 01:15:00,2020-10-06 01:30:00,53.16
33813,2020-11-06 01:15:00,2020-11-06 01:30:00,5.08
33909,2020-12-06 01:15:00,2020-12-06 01:30:00,4.38
34005,2020-06-13 01:15:00,2020-06-13 01:30:00,32.62
34101,2020-06-14 01:15:00,2020-06-14 01:30:00,4.38
34197,2020-06-15 01:15:00,2020-06-15 01:30:00,4.43
