,appName,pkgName,eventType,eventFlag,className,datetime,timestamp
385,Contacts and dialer,com.android.contacts,1,ACTIVITY_RESUMED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:00:37,1614609036973
386,Contacts and dialer,com.android.contacts,2,ACTIVITY_PAUSED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:00:37,1614609037088
387,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 20:00:37,1614609037128
388,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 20:01:02,1614609061857
389,Contacts and dialer,com.android.contacts,1,ACTIVITY_RESUMED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:01:02,1614609061867
390,Contacts and dialer,com.android.contacts,2,ACTIVITY_PAUSED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:01:05,1614609064882
391,null,com.android.incallui,1,ACTIVITY_RESUMED,com.android.incallui.InCallActivity,01-03-2021 20:01:05,1614609064921
392,null,com.android.incallui,2,ACTIVITY_PAUSED,com.android.incallui.InCallActivity,01-03-2021 20:01:31,1614609090687
393,Contacts and dialer,com.android.contacts,1,ACTIVITY_RESUMED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:01:31,1614609090694
394,Contacts and dialer,com.android.contacts,2,ACTIVITY_PAUSED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:01:31,1614609091170
395,Contacts and dialer,com.android.contacts,1,ACTIVITY_RESUMED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:10:27,1614609627126
396,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 20:10:58,1614609658145
397,Contacts and dialer,com.android.contacts,2,ACTIVITY_PAUSED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:10:58,1614609658156
398,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 20:10:59,1614609659102
399,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 20:12:33,1614609753084
400,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 20:12:34,1614609754203
401,Contacts and dialer,com.android.contacts,1,ACTIVITY_RESUMED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:12:34,1614609754205
402,Contacts and dialer,com.android.contacts,2,ACTIVITY_PAUSED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:12:51,1614609771370
403,Contacts and dialer,com.android.contacts,1,ACTIVITY_RESUMED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:28:27,1614610707334
404,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 20:28:49,1614610729067
405,Contacts and dialer,com.android.contacts,2,ACTIVITY_PAUSED,com.android.contacts.activities.PeopleActivity,01-03-2021 20:28:49,1614610729078
406,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 20:28:51,1614610730763
407,Telegram,org.telegram.messenger,1,ACTIVITY_RESUMED,org.telegram.ui.LaunchActivity,01-03-2021 20:28:51,1614610730773
408,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 20:28:55,1614610734511
409,Telegram,org.telegram.messenger,2,ACTIVITY_PAUSED,org.telegram.ui.LaunchActivity,01-03-2021 20:28:55,1614610734518
410,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 20:28:56,1614610735598
411,BitTorrent,com.bittorrent.client,1,ACTIVITY_RESUMED,com.bittorrent.app.Main,01-03-2021 20:28:56,1614610735608
412,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 20:29:05,1614610745142
413,BitTorrent,com.bittorrent.client,2,ACTIVITY_PAUSED,com.bittorrent.app.Main,01-03-2021 20:29:05,1614610745153
414,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 20:29:13,1614610753315
415,Chrome,com.android.chrome,1,ACTIVITY_RESUMED,org.chromium.chrome.browser.download.DownloadActivity,01-03-2021 20:29:13,1614610753317
416,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 20:29:30,1614610769816
417,Chrome,com.android.chrome,2,ACTIVITY_PAUSED,org.chromium.chrome.browser.download.DownloadActivity,01-03-2021 20:29:30,1614610769831
418,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 20:29:31,1614610771298
419,Instagram,com.instagram.android,1,ACTIVITY_RESUMED,com.instagram.mainactivity.LauncherActivity,01-03-2021 20:29:31,1614610771314
420,Instagram,com.instagram.android,2,ACTIVITY_PAUSED,com.instagram.mainactivity.LauncherActivity,01-03-2021 20:29:31,1614610771421
421,Instagram,com.instagram.android,1,ACTIVITY_RESUMED,com.instagram.mainactivity.MainActivity,01-03-2021 20:29:31,1614610771433
422,Instagram,com.instagram.android,2,ACTIVITY_PAUSED,com.instagram.mainactivity.MainActivity,01-03-2021 20:29:45,1614610784960
423,Instagram,com.instagram.android,1,ACTIVITY_RESUMED,com.instagram.modal.ModalActivity,01-03-2021 20:29:45,1614610784969
424,Instagram,com.instagram.android,2,ACTIVITY_PAUSED,com.instagram.modal.ModalActivity,01-03-2021 20:30:25,1614610825033
425,Instagram,com.instagram.android,1,ACTIVITY_RESUMED,com.instagram.modal.TransparentModalActivity,01-03-2021 20:30:25,1614610825050
426,Instagram,com.instagram.android,2,ACTIVITY_PAUSED,com.instagram.modal.TransparentModalActivity,01-03-2021 20:31:00,1614610859606
427,Instagram,com.instagram.android,1,ACTIVITY_RESUMED,com.instagram.modal.ModalActivity,01-03-2021 20:31:00,1614610859628
428,Instagram,com.instagram.android,2,ACTIVITY_PAUSED,com.instagram.modal.ModalActivity,01-03-2021 20:31:00,1614610860350
429,Instagram,com.instagram.android,1,ACTIVITY_RESUMED,com.instagram.mainactivity.MainActivity,01-03-2021 20:31:00,1614610860353
430,Instagram,com.instagram.android,2,ACTIVITY_PAUSED,com.instagram.mainactivity.MainActivity,01-03-2021 20:32:42,1614610961844
431,Instagram,com.instagram.android,1,ACTIVITY_RESUMED,com.instagram.modal.TransparentModalActivity,01-03-2021 20:32:42,1614610961851
432,Instagram,com.instagram.android,2,ACTIVITY_PAUSED,com.instagram.modal.TransparentModalActivity,01-03-2021 20:34:13,1614611052721
